Medication,Time,Indication,Outcome,Product
Labetalol,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Lacosamide,N/A,Seizures,Within 1 yr and > 12 seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Lactulose,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Lamictal,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Lamivudine,N/A,Hepatitis B or C,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if resolved,Transamerica Solutions
Lamotrigine,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Lanoxin,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Lanoxin,N/A,Arrhythmia/Irregular HeartRhythm,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Lantus,N/A,Insulin DependentDiabetes/Type 1,Within 2 yrs-Std Over 2 yrs-Preferred,Transamerica Solutions
Lapatinib,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Lasix,N/A,Cirrhosis,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Lasix,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Ledipasvir-Sofosbuvir,N/A,Hepatits C,"Within 1 yr-Graded, Within2 yrs-Standard, Over 2 yrs-Preferred if resolved ",Transamerica Solutions
Lenalidomide,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Letrozole,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Leucovorine,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Leukeran,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Leukeran,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
Leukine,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Leuprolide,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Levemir,N/A,Insulin DependentDiabetes/Type 1,Within 2 yrs-Std Over 2 yrs-Preferred,Transamerica Solutions
Levetiracetam,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12 seizures respectively-Preferred,Transamerica Solutions
Levolecucovorin Calcium,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Linagliptin,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Linagliptin-Metformin,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Lipodox,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Lipraglutide,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Lisinopril,N/A,Heart Attack,Date of Heart Attack: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Lisinopril,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Lopressor,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Lopressor,N/A,Heart Attack,Date of Heart Attack: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Lopressor,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Lorazepam,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Lorazepam Intensol,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Losartan,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Lotensin,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Lovenox,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Lovenox,N/A,Heart Attack,Date of Heart Attack: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Lupron Depot,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Lyrica,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and > 12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Lysodren,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Lysodren,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-PreferredOn Dialysis-Graded,Transamerica Solutions
Magestrol,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Makena,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Matulane,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Mavik,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Maxair,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, Chronic Bronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Mechlorethamine,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Medrol,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
Medrol,N/A,Hepatitis B or C,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if resolved,Transamerica Solutions
Medroxyprogesterone,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Megace,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Megestrol,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Melphalan,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Menest,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Mercaptopurine,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Metformin,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Methadone,N/A,Drug Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Methitest,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Methotrexate,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Methsuximide,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and > 12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Methylprednisolone,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
Methylprednisolone,N/A,Hepatitis B or C,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if resolved,Transamerica Solutions
Methyltestosterone,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Metolazone,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Metolazone,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-PreferredOn Dialysis-Graded,Transamerica Solutions
Metoprolol Succinate,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Metoprolol Succinate,N/A,Congestive Heart Failure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Metoprolol Tartrate,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Metoprolol Tartrate,N/A,Heart Attack,Date of Heart Attack: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Metoprolol Tartrate,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Metronidazole,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Mexiletine,N/A,Arrhythmia/Irregular HeartRhythm,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Micardis,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Microzide,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Miglitol,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Milrinone,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Mirapex,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Mitomycin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Mitotane,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Mitotane,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-PreferredOn Dialysis-Graded,Transamerica Solutions
Mometasone,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Montelukast,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Multaq,N/A,Arrhythmia,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Mustargen,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Mysoline,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Nadolol,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Naltrexone,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Naltrexone,N/A,Drug Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Naltrexone Microspheres,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Naltrexone Microspheres,N/A,Drug Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Nateglinide,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Natrecor,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Nebivolol,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Neo-Fradin,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Neomycin,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Neoral,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Nephrocaps,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
Nesiritide,N/A,Congestive Heart Failure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Neupro,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Neurontin,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Nexavar,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Nicoderm,N/A,Smoking Cessation,Within 1 yr-Tobacco rates,Transamerica Solutions
Nicorette,N/A,Smoking Cessation,Within 1 yr-Tobacco rates,Transamerica Solutions
Nicotine,N/A,Smoking Cessation,Within 1 yr-Tobacco rates,Transamerica Solutions
Nicotrol,N/A,Smoking Cessation,Within 1 yr-Tobacco rates,Transamerica Solutions
Nifediac,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Nifedical,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Nifedipine,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Nilandron,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Nilutamide,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Nitro-Bid,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Nitroglycerine,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Nitroglycerine,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Nitrolingual,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Nitropress,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Nitrostat,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Norpace,N/A,Arrhythmia/Irregular HeartRhythm,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Norvasc,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Novolin,N/A,Insulin DependentDiabetes/Type 1,Within 2 yrs-Std Over 2 yrs-Preferred,Transamerica Solutions
Novolog,N/A,Insulin DependentDiabetes/Type 1,Within 2 yrs-Std Over 2 yrs-Preferred,Transamerica Solutions
Olysio,N/A,Hepatitis B or C,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if resolved,Transamerica Solutions
Onglyza,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Onxol,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Oxaliplatin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Oxazepam,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Oxcarbazepine,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Oxygen,N/A,RespiratoryDisease/Disorder,Within 1 yr-Graded,Transamerica Solutions
Pacerone,N/A,Arrhythmia,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Pamidronate,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Papaverine,N/A,Circulatory/VascularDisorder,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Paricalcitol,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
Parlodel,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Parlodel,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Paromomycin,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Pazopanib,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Peganone,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Pegasys,N/A,Hepatitis B or C,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if resolved,Transamerica Solutions
Peginterferon,N/A,Hepatitis B or C,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if resolved,Transamerica Solutions
Pemetrexed,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Pentoxifylline,N/A,Circulatory/VascularDisorder,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Perforomist,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Perindopril Erbumine,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Phenobarbital,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Phenytek,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12 seizures respectively-Preferred,Transamerica Solutions
Phenytoin,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Phenytoin Sodium,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
PhosLo,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
Phoslyra,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
Photofrin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Pioglitazone,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Pioglitazone-Glimepiride,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Pioglitazone-Metformin,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Plasbumin,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Plavix,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Plavix,N/A,Heart Attack,Date of Heart Attack: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Plavix,N/A,Stroke/CVA,Date of Stroke: Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 yrs-Preferred,Transamerica Solutions
Pletal,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Pletal,N/A,Circulatory/VascularDisorder,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Porfimer,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Potiga,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and > 12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Pradaxa,N/A,Arrhythmia,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Pradaxa,N/A,Circulatory/VascularDisorder,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Pramipexole,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Pramlintide,N/A,Insulin DependentDiabetes/Type 2,Within 2 yrs-Std Over 2 yrs-Preferred,Transamerica Solutions
Prandimet,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Prandin,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Praziquantel,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Precose,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Pregabalin,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Premarin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Primidone,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Prinivil,N/A,Heart Attack,Date of Heart Attack: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Prinivil,N/A,Congestive Heart Failure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
ProAir,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Procarbazine,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Procardia,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Procardia,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Procrit,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Procrit,N/A,Circulatory/VascularDisorder,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Procrit,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
Prograf,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Propafenone,N/A,Arrhythmia,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Propranolol,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Proventil,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, Chronic Respiratory Disease ",Standard,Transamerica Solutions
Pulmicort,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Quinapril,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Quinidine,N/A,Arrhythmia,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Qvar,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, Chronic Bronchitis, Chronic Respiratory Disease ",Standard,Transamerica Solutions
Ramipril,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Renagel,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-PreferredOn Dialysis-Graded,Transamerica Solutions
Ranexa,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Rebif,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
Reclast,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Renagel,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
